N	time	L1_TCM	L2_TCM	L3_TCM	L1_TCA	L2_TCA	L3_TCA		time/N^3	L1_pct	L2_pct	L3_pct
8	0.00265742	136835	5998	96	6540885	192394	24117		5.1902734375e-06	2.091995196368687	3.1175608386955935	0.3980594601318572
12	0.00598156	286352	93785	25	14016051	755763	169344		3.4615509259259262e-06	2.0430290957131936	12.409313501719454	0.014762849584278155
16	0.020090900000000002	984516	457249	189	25238282	1589517	428830		4.9050048828125004e-06	3.90088358629165	28.76653725628603	0.044073409043210596
24	0.0564172	2950686	1542273	1866	84268074	4997489	1547755		4.081105324074074e-06	3.5015467423641367	30.86095837329507	0.12056171680918491
32	0.11541099999999999	5258547	2779255	28038	197563668	9053386	2798626		3.5220642089843746e-06	2.661697392660274	30.69851434590329	1.0018487643579386
48	0.225517	5852253	2823448	41887	539894356	10003334	2813762		2.039180049189815e-06	1.0839626187905547	28.225069761741434	1.4886475828446044
64	0.443057	51183492	2882466	69177	1222076788	61287607	2945093		1.6901283264160155e-06	4.188238619912319	4.703179225124583	2.348890170870665
96	1.38646	100487488	3738008	289320	1890557232	137152920	3763833		1.567088939525463e-06	5.315231207980696	2.725430854844359	7.686844767023404
128	3.47529	1695711147	56676013	328840	4698855247	2196070993	44461314		1.6571474075317384e-06	36.08775026816654	2.580791476261715	0.7396092702073538
192	12.4205	5797455460	508854212	1744232	13563877492	6008163328	502412947		1.7548313847294561e-06	42.74187424222425	8.469380478199943	0.3471709896042946
256	50.5693	13365013267	13215829603	5217407	29310477357	13377144311	13214456491		3.014165163040161e-06	45.598074382122384	98.79410205758676	0.039482569741354334
384	172.937	45271493651	42063994923	17536737	95855654875	45288867773	42061124190		3.054177319561994e-06	47.22881890487945	92.87932551954283	0.041693457646976885
512	388.756	106552810227	106461276945	64855022	225787453814	106567171825	106464424259		2.8964579105377195e-06	47.19164348023361	99.90063086203142	0.0609170832899305
