N N_std T T_std subseq_length subseq_length_std simple_pre_time simple_pre_time_std simple_running_time simple_running_time_std one_pre_time one_pre_time_std one_running_time one_running_time_std many_pre_time many_pre_time_std many_running_time many_running_time_std simple_total_time simple_total_time_std one_total_time one_total_time_std many_total_time many_total_time_std one_total_ratio one_total_ratio_std many_total_ratio many_total_ratio_std one_running_ratio one_running_ratio_std many_running_ratio many_running_ratio_std
16.0 0.0 10946.0 0.0 2.0 0.0 1.5693000000000002e-07 2.657189789186615e-08 0.012550371999999999 0.001184720336524112 0.0020268096000000003 0.00015006996399941942 0.00020245802000000003 2.1565245902327622e-05 0.0020357657 0.0001944924970548122 0.00020575703000000003 2.650252995906992e-05 0.012550528930000002 0.001184733956537408 0.00222926762 0.00016834164462402754 0.00020982856139999998 2.683956356149856e-05 5.63241986648974 0.3513293583043471 60.325449472569574 6.753332163149654 62.22571102980259 4.879240577419393 61.53042045368871 6.96087337869403
16.0 0.0 10946.0 0.0 4.0 0.0 1.5642999999999998e-07 1.967681042971313e-08 0.012389213 0.0008169315244791936 0.0020020381000000003 0.00012192439140543159 0.00020393480999999998 1.629900638769608e-05 0.0020008118 0.0001153564871432089 0.00020500730999999998 1.6768247842002657e-05 0.012389369429999998 0.0008169340549237348 0.00220597291 0.0001343953040282661 0.00020900893360000002 1.697400091723774e-05 5.620930619823987 0.26063199452249836 59.48167052264041 3.9672909430297136 60.93499194391915 3.726977165094291 60.64711679382208 4.07860126455694
16.0 0.0 10946.0 0.0 8.0 0.0 1.577e-07 2.393151001748877e-08 0.012349658000000001 0.0009337396036963743 0.0019887023 0.00011766104929380951 0.00020960319000000002 2.0211940985414734e-05 0.0019990723 0.00016974294341176902 0.00021127299000000003 2.345632634161489e-05 0.012349815699999997 0.0009337483630577236 0.00219830549 0.0001339096033009304 0.00021527113460000004 2.3756156503211982e-05 5.626227715800171 0.3951828767745287 57.8449375882987 6.046892430533363 59.27303303743644 5.510041935960239 58.94668395211067 6.199395563386866
16.0 0.0 10946.0 0.0 16.0 0.0 1.6009e-07 2.650675347525555e-08 0.013335081000000004 0.0017468398678117678 0.0021063521 0.00018741734500487298 0.00023712542 3.0515879926697273e-05 0.0021143306999999996 0.00019701185374405326 0.00023850477999999998 2.7837856933647016e-05 0.013335241089999998 0.0017468524970987778 0.0023434775199999997 0.0002142684113283644 0.00024273344139999996 2.8170896154810637e-05 5.716317126540819 0.8312183406758644 55.5521908873919 9.823374909503885 56.8819521363705 9.778126486039737 56.545589374978306 10.03396621805983
16.0 0.0 10946.0 0.0 32.0 0.0 1.5428000000000003e-07 1.9743854688986053e-08 0.012822781999999998 0.0012173725120135578 0.0020674201 0.0001995106988017274 0.00025842867999999994 4.1835516234458774e-05 0.0020356451 0.0001594609032383972 0.00024620611 2.6354481986670663e-05 0.01282293628 0.0012173780638542612 0.0023258487799999996 0.00022346151795542485 0.0002502774002 2.663319168983269e-05 5.537193155775222 0.5048602224470485 51.71740895160114 7.193377361856235 50.519638709649136 7.617276502832198 52.57970127852543 7.3517408626625
16.0 0.0 10946.0 0.0 64.0 0.0 1.6375000000000002e-07 2.5429393237040495e-08 0.013085466 0.001069989300071103 0.0020921807 0.0001419476565730265 0.00029563622 2.7710141463931597e-05 0.0020776221 0.00016209717535843268 0.00029848765 3.469780708710662e-05 0.013085629750000001 0.0010699993161940198 0.00238781692 0.00016426982718314873 0.0003026428942 3.499701221740471e-05 5.4952399994478744 0.4919446761019076 43.71600378576355 5.70876789168874 44.56189775055323 4.952718447734886 44.32967244474182 5.811399309777659
16.0 0.0 10946.0 0.0 128.0 0.0 1.6558e-07 3.7027748262811525e-08 0.013505620000000001 0.0015479476393410214 0.0020816085 0.00017085692157843983 0.00037832018999999997 4.321727707890809e-05 0.0020858804999999998 0.00019905469538876574 0.00039653704000000003 6.014226278791731e-05 0.01350578558 0.0015479589164621359 0.00245992869 0.00020326396411348384 0.00040070880100000005 6.044352805403596e-05 5.514346136322651 0.6884956720564773 34.468047917977074 6.925048911474586 36.239679050986865 6.824562104880191 34.83904480101671 7.028327921020091
16.0 0.0 10946.0 0.0 256.0 0.0 1.7054e-07 3.835043623736188e-08 0.013425632 0.0017428390254009558 0.0020666034 0.00017623348177180873 0.0005513169900000001 6.691045213763211e-05 0.0020860632 0.00019418456401781295 0.00056781881 8.868989609354987e-05 0.01342580254 0.0017428626094096633 0.00261792039 0.0002366442013953829 0.0005719909363999999 8.903237239963688e-05 5.163191679681956 0.827917268708612 23.95112381583337 4.81387701061252 24.704075050809397 4.816355408202028 24.130214451091955 4.860074325532681
16.0 0.0 10946.0 0.0 512.0 0.0 1.6433000000000007e-07 3.6479426885006806e-08 0.012812275 0.0015065538165282778 0.0020383862 0.00022353959735450316 0.0008767703699999998 0.00013029264318167053 0.0020415355 0.0002483835505962872 0.0009072803599999999 0.00015553019330641238 0.012812439330000003 0.0015065752154240924 0.00291515657 0.000347316777617074 0.0009113634309999999 0.0001559785630628465 4.427772045408827 0.5752778352180193 14.333835264079196 2.427205964079019 14.818542568044457 2.2989843743452147 14.399286167098989 2.4416959988420017
16.0 0.0 10946.0 0.0 1024.0 0.0 1.6553e-07 3.572211916977776e-08 0.012916143 0.0021836429435464055 0.0020369629 0.00021427069336458102 0.0015874123000000002 0.00023370049391533727 0.0020308371 0.00024900503568919027 0.0015514014000000001 0.00025129338498940763 0.01291630853 0.0021836599926512786 0.0036243752000000005 0.0004443890258159087 0.0015554630741999996 0.0002517627162744126 3.5785811661267504 0.5760002346541487 8.414736661285547 1.6229727085882633 8.207065540338652 1.465056554926224 8.4368835100449 1.6279495278553133
16.0 0.0 10946.0 0.0 2048.0 0.0 1.6114000000000003e-07 3.4122482887149864e-08 0.012701995 0.0016649700493787387 0.0020566836 0.00022608474932157363 0.0029567329999999996 0.0003712436380994203 0.0020161185999999997 0.0002078903089457923 0.0028239178000000003 0.00040868955765781717 0.01270215614 0.0016649867800600866 0.0050134166 0.0005708674276342731 0.0028279500372000005 0.00040906247836612294 2.5513927555774623 0.34994494399753645 4.560637169197451 0.8127914907641265 4.340423728004699 0.6718690951157805 4.56716179551752 0.8141545515939064
16.0 0.0 10946.0 0.0 4096.0 0.0 1.5645999999999999e-07 3.213714927675396e-08 0.012501051 0.001800128550263502 0.0020625597999999997 0.00021191309311197388 0.0056859823 0.0006329933149484336 0.0020002746 0.00019938234311569133 0.005181898900000001 0.0006210261093958137 0.012501207459999998 0.001800137811080987 0.0077485421 0.0008005715267009088 0.0051858994492 0.0006213870533947318 1.623825909739871 0.2635024052629472 2.4563420598303707 0.5510626279486773 2.2194020478609375 0.4008694223226341 2.458224800300631 0.5515464469060166
16.0 0.0 10946.0 0.0 8192.0 0.0 1.5594e-07 3.3796724484165514e-08 0.013145133999999998 0.002194745908590976 0.0021079461000000003 0.00020591791555190503 0.0110865277 0.0013461806534987332 0.0019333749 0.00018101319323809845 0.009305404500000001 0.0010118321172425686 0.013145289940000002 0.0021947641104713153 0.0131944738 0.0014390039617544449 0.009309271249800001 0.0010121253342413234 1.00794080065353 0.20875724855596675 1.42659089670473 0.28475869898828005 1.2051356397634143 0.2725852589311781 1.4271676226331786 0.2848724290305296
