N N_std T T_std subseq_length subseq_length_std simple_pre_time simple_pre_time_std simple_running_time simple_running_time_std one_pre_time one_pre_time_std one_running_time one_running_time_std many_pre_time many_pre_time_std many_running_time many_running_time_std simple_total_time simple_total_time_std one_total_time one_total_time_std many_total_time many_total_time_std one_total_ratio one_total_ratio_std many_total_ratio many_total_ratio_std one_running_ratio one_running_ratio_std many_running_ratio many_running_ratio_std
2.0 0.0 10000.0 0.0 200.0 0.0 3.55e-07 1.8384776310849773e-08 0.004834255000000001 0.00016382957013307928 0.0016443249999999999 0.0004121230452789568 0.007196495000000001 0.0019633456175747544 0.010005980000000001 0.0018515166801300956 0.0022029849999999998 0.00046740465343211927 0.0048346100000000005 0.00016384795490943232 0.00884082 0.0023754686628537206 0.00222299696 0.00046370162007185585 0.5647472603018433 0.13321065968655516 2.231041015600738 0.5390854372964379 0.6944916325831768 0.16670581069554063 2.2530107138713236 0.5523856322348952
3.0 0.0 10000.0 0.0 200.0 0.0 3.3149999999999997e-07 1.202081528017068e-08 0.002253505 0.000346164124729876 0.001353705 0.00013488061851133447 0.0066784900000000005 0.0012582399485789701 0.01384345 0.00044271955570088293 0.002154725 0.0003910088367927231 0.0022538365 0.0003461761455451511 0.008032195 0.0013931205670903017 0.0021824119 0.00039189427590412756 0.28109067498078527 0.005654376541890104 1.064125538687695 0.3497052288801471 0.33855315098111066 0.011951350462730827 1.078172001887504 0.3563048208241854
4.0 0.0 10000.0 0.0 200.0 0.0 2.385e-07 4.454772721475227e-08 0.0030275550000000004 0.0008926303873664598 0.001511905 0.00029566255841753045 0.0076498 0.0019837315060763625 0.0117501 8.796408357952611e-05 0.00218503 0.00021466347663260836 0.0030277935 0.0008926749350936767 0.009161705 0.0022793940644939043 0.0022085302 0.0002148394047997716 0.3285307828986263 0.015698368213232793 1.3972243513473033 0.5401120542109302 0.39388318537494005 0.014545727054887376 1.4124731376669597 0.5472862073967985
6.0 0.0 10000.0 0.0 200.0 0.0 2.915e-07 1.3647160876900376e-07 0.00340243 0.0004067985312166169 0.001457525 6.841258107979964e-05 0.0077414 0.00014818129706546 0.0208603 0.005632812618932051 0.0019641850000000002 0.00014360631619116863 0.0034027215 0.00040666205960785133 0.009198925 7.976871598546189e-05 0.0020059056 0.00013234069095331856 0.37010984390264023 0.04741698042212782 1.6933494545508259 0.09101276887964195 0.44009449067076184 0.060972473154155396 1.7292857973162974 0.08067578574436507
8.0 0.0 10000.0 0.0 200.0 0.0 2.535e-07 1.435426765808691e-07 0.004652315000000001 0.0003053216370485216 0.001543545 0.00016207594531576747 0.00915345 0.0014128700594888395 0.02341285 0.0008558113372701635 0.00222477 0.00014579127614504096 0.0046525685 0.0003051780943719651 0.010696995 0.0015749460048045997 0.0022715957 0.0001440796534704976 0.44183073562615155 0.09358120165955452 2.048008869738857 0.004446955994622211 0.5169910778186372 0.1131554607193312 2.0911375959789504 0.00020317530397133743
12.0 0.0 10000.0 0.0 200.0 0.0 2.655e-07 1.40714249456123e-07 0.00842939 0.002710778698492368 0.00154528 8.560234693044277e-05 0.00912836 0.000511931167443434 0.03717925 0.0022674793152308065 0.002996535 2.2040518369722725e-05 0.008429655500000001 0.0027109194127418203 0.010673640000000002 0.00042632882051294916 0.0030708935 2.6575477000099872e-05 0.7853180206690469 0.2226153127951097 2.7413000791812046 0.8590555340122762 0.9165430333570864 0.24556127863205782 2.809794783959668 0.8839707745585291
16.0 0.0 10000.0 0.0 200.0 0.0 2.42e-07 1.2445079348883227e-07 0.01035925 8.237794000816625e-05 0.00180894 0.00010374670693568587 0.0151022 0.0009782115210935024 0.0344725 8.499423509755173e-05 0.004865990000000001 2.6304372260030226e-05 0.010359492000000001 8.25023908014385e-05 0.016911139999999998 0.0010819582280291642 0.004934935 2.6474360730500112e-05 0.6136838316969129 0.03438431000578521 2.09929054325337 0.027980057674829705 0.6872080449221548 0.03905767947204637 2.128985884345334 0.02843811377475677
24.0 0.0 10000.0 0.0 200.0 0.0 2.315e-07 9.970205614730317e-08 0.02319905 0.0028078503174136698 0.0027509049999999997 0.0004987860523811816 0.008144865 0.0009878918129279188 0.0573386 0.0019171079051531854 0.008434675 1.5874547237629625e-05 0.0231992815 0.00280795001946978 0.010895769999999999 0.0014866778653090957 0.0085493522 1.970876304739727e-05 2.166953887834086 0.5533810276518535 2.713200488155307 0.32218536907945056 2.890471808222058 0.6953244470295283 2.750129532440465 0.32771781440794123
32.0 0.0 10000.0 0.0 200.0 0.0 4.34e-07 1.838477631085024e-07 0.0346977 0.0006208397538809698 0.00354522 0.00042938352180772353 0.008798785 0.0004657500235641238 0.050229800000000005 0.00566010694068575 0.01471525 0.0002984697723389437 0.03469813399999999 0.0006210236016452528 0.012344005 3.63665017565096e-05 0.014815709600000001 0.00030978998622011657 2.811016309457681 0.05859122960499192 2.3420563504164935 0.007054809097800369 3.9508674723183486 0.2796927498754443 2.3579987601059154 0.005637117903156022
48.0 0.0 10000.0 0.0 200.0 0.0 5.3e-07 1.0323759005323611e-07 0.06639980000000001 0.0008492352442034042 0.005476085 1.8519126599102265e-05 0.014032649999999999 4.461843789307688e-05 0.1769905 0.0004900249993543416 0.05985985 3.938584770753378e-05 0.06640033000000001 0.0008493384817944868 0.019508735 6.313756449212218e-05 0.060213830999999995 4.036589772206256e-05 3.403708756101729 0.05455199237141564 1.1027471347628917 0.014844626973463827 4.731927738457984 0.07556423541643752 1.109259274082598 0.014916916114015258
64.0 0.0 10000.0 0.0 200.0 0.0 4.455e-07 2.0152543263816617e-07 0.111834 0.00592979746703015 0.00713441 9.685948688691534e-05 0.0237001 0.00010847018023312421 0.3345785 0.054288123125596756 0.1124795 0.0027923646789057197 0.11183444549999999 0.005929595941597966 0.030834510000000002 1.1610693336723921e-05 0.113148657 0.0029009409251569817 3.6268887372514302 0.19093818091046055 0.9880380273258398 0.027073728259254547 4.718191124332412 0.22860723901565017 0.9939130666867393 0.02804448566815687
96.0 0.0 10000.0 0.0 200.0 0.0 5.514999999999999e-07 2.1001071401240475e-07 0.248197 0.0046131646404576855 0.01224875 0.00010118698038789735 0.07105525 0.0011086727222224123 2.19033 0.05395224740452273 0.529087 0.002767615941581375 0.2481975515 0.00461337465117488 0.083304 0.0012098597026108744 0.5334676599999999 0.002875520436377961 2.980135827279951 0.09866177970934258 0.4652366807417382 0.006140160526228239 3.4939460446243986 0.11943955320759533 0.4690879382295027 0.006265338941651403
128.0 0.0 10000.0 0.0 200.0 0.0 6.4e-07 7.071067811850109e-09 0.4851985 0.0025010366850642006 0.01758005 0.0006839843894417568 0.17141050000000002 0.0009369164850653721 6.071305000000001 0.026085169157505892 1.443445 0.006257895013441285 0.48519914000000003 0.00250102961397835 0.18899055 0.0002529320956268464 1.45558761 0.006310065351798975 2.567330737615207 0.016669563412748806 0.33334243637564326 0.0031632875550933505 2.8307051400952075 0.030063333314927835 0.33614615130738584 0.003190010017099069
192.0 0.0 10000.0 0.0 200.0 0.0 3.55e-07 4.101219330882028e-08 1.1676549999999999 2.1213204313190567e-05 0.03078525 0.00012112739161633026 0.6431045 0.001542199889836592 16.6324 0.35284628381202165 5.652345 0.028786317061920006 1.167655355 2.125423824305681e-05 0.6738897500000001 0.0014210724981618195 5.6856098 0.028080624494540133 1.7327135912120264 0.0036223394348179586 0.20537280781720899 0.001018052788872092 1.8156587801392294 0.004321063788503799 0.20658155098087794 0.0010558335043450557
256.0 0.0 10000.0 0.0 200.0 0.0 4.2600000000000003e-07 2.6870057685088136e-08 2.80541 0.009489373003554076 0.058527300000000004 0.015576006754620994 1.85294 0.25427559851468207 16.07735 0.24175980848771025 35.950599999999994 0.2979747975929715 2.805410426 0.00948939987376482 1.9114673 0.26985160526930435 35.9827547 0.2984583172082889 1.4828006161877925 0.21429899765806432 0.07796919143117295 0.0009104348406723608 1.5287777922722061 0.21491265833189188 0.07803891157278028 0.0009107776193926568
