N N_std T T_std subseq_length subseq_length_std simple_pre_time simple_pre_time_std simple_running_time simple_running_time_std one_pre_time one_pre_time_std one_running_time one_running_time_std many_pre_time many_pre_time_std many_running_time many_running_time_std simple_total_time simple_total_time_std one_total_time one_total_time_std many_total_time many_total_time_std one_total_ratio one_total_ratio_std many_total_ratio many_total_ratio_std one_running_ratio one_running_ratio_std many_running_ratio many_running_ratio_std
16.0 0.0 1024.0 0.0 200.0 0.0 2.35e-07 1.0889444430272828e-07 0.004762505 0.00023514836008356547 0.0008307285000000001 2.3652721830244492e-06 0.0021997600000000003 3.255519620579693e-05 0.009263925 0.0002020981891310159 0.0021779549999999996 0.0002803466255370317 0.00476274 0.00023503946563928953 0.0030304885 3.01899240227134e-05 0.0021964828499999997 0.0002807508219152954 1.5720723384219704 0.09321936384003933 2.1793119134834043 0.1715488674455029 2.166039398885543 0.1389534302395926 2.197946542862838 0.17495243763934806
16.0 0.0 2048.0 0.0 200.0 0.0 1.525e-07 6.3639610306787235e-09 0.01037834 0.004594016188826507 0.001063993 0.00029290767039802726 0.00460189 0.0009341163422186813 0.013851250000000002 0.004021528396642248 0.0032597900000000003 0.00016577411378136594 0.0103784925 0.004594009824865476 0.005665883 0.0012270240126167106 0.0032874925 0.00015773105698808817 1.9656431459011179 1.236506501302902 3.1270387951430556 1.2473879987451828 2.406123111489089 1.486696793851768 3.151986336130155 1.2490063615458427
16.0 0.0 4096.0 0.0 200.0 0.0 1.415e-07 1.202081528017173e-08 0.01850415 0.0019526753762466624 0.00130307 5.925554826344062e-05 0.008119399999999999 0.0007062865373204023 0.020785400000000002 0.001040861181906589 0.003959925 0.00027319070491142045 0.0185042915 0.0019526873970619777 0.00942247 0.0007655420855837996 0.004001495800000001 0.00027527242727522146 1.9619038188348283 0.04783962760043378 4.652136443312417 0.8080209125367928 2.2771600134220913 0.042410512530800644 4.701050409021399 0.8174292824513961
16.0 0.0 8192.0 0.0 200.0 0.0 1.3900000000000001e-07 7.0710678118652816e-09 0.02489625 0.012976328673588696 0.00207836 0.0003702835370361468 0.01741745 5.8336309447963204e-05 0.0388351 0.0020480640810288126 0.00436869 5.161879502660531e-05 0.024896389 0.0129763357446565 0.019495810000000002 0.00031194722758810795 0.004446360199999999 5.571492318869999e-05 1.2718500904486891 0.6452456007230868 5.617999585841764 2.988813672822928 1.4306411437296045 0.749810506018859 5.716737751576895 3.0378488260344105
16.0 0.0 16384.0 0.0 200.0 0.0 1.825e-07 3.8890872965260145e-08 0.0425923 0.007834884556903203 0.003729935 6.356182856080732e-05 0.0299894 3.6486709907407256e-05 0.0564155 0.007191700228735868 0.007104945 5.7862547904553334e-05 0.0425924825 0.007834845666030196 0.033719335 0.00010004853846997937 0.007217776 7.22459483620536e-05 1.2634974388012243 0.23610361052917908 5.906782014077459 1.144616670620513 1.4204051330515255 0.26298326965349106 5.999429572190075 1.1515960838435346
16.0 0.0 32768.0 0.0 200.0 0.0 1.565e-07 1.3435028842544538e-08 0.0708606 0.0005788376110803508 0.00670604 4.590537223471382e-05 0.0447143 0.0014465990529516958 0.10825150000000001 0.0017854446224959076 0.0126111 0.00020053548314432764 0.07086075650000001 0.0005788241760479326 0.051420339999999995 0.001492504425186324 0.012827603 0.00020410637238934203 1.3784859200896993 0.02875461655329353 5.524424335985861 0.04277853272428877 1.585361607325891 0.03834444436486691 5.619252657346744 0.04345552215707867
16.0 0.0 65536.0 0.0 200.0 0.0 2e-07 1.979898987322345e-08 0.1372815 0.010686504784072737 0.012707155 0.0038982019029355016 0.07226964999999999 0.0164274340298478 0.21844650000000002 0.0006569021997218413 0.0239073 3.959797980971105e-06 0.1372817 0.010686484985082848 0.08497680499999999 0.012529232126912336 0.024344193 2.6459935624785875e-06 1.6238999566044332 0.11367495544340114 5.639173171555683 0.4383617797107115 1.9326973493535935 0.29144673347796 5.742204969739053 0.4460464716828364
16.0 0.0 131072.0 0.0 200.0 0.0 1.7500000000000002e-07 4.2426406871181575e-09 0.2853585 0.018675397197917838 0.030603850000000002 0.0003795042094624641 0.1271075 0.0006837722574057069 0.45943 0.01668630582244066 0.0457416 0.0008841663191955987 0.285358675 0.018675401440560017 0.15771135000000003 0.00030426804792110345 0.04666046 0.0009175389308406379 1.8092622444152027 0.11492451715891408 6.120760712718562 0.5206000472527943 2.244654299210107 0.13485093216882674 6.243602043599122 0.5289666263385874
16.0 0.0 262144.0 0.0 200.0 0.0 1.5600000000000002e-07 4.2426406871181575e-09 0.5752745 0.03502370597895215 0.029542899999999997 0.0036595604353529022 0.3651765 0.0013908790385874221 0.9477530000000001 0.018029808706694368 0.09120935 7.049854608821285e-05 0.575274656 0.035023710221591765 0.3947194 0.0022686813967532663 0.09310485600000001 0.00010655816348661878 1.4577059313961376 0.09710893498037651 6.179001823866523 0.3832467482489943 1.5751615269901564 0.08990952821077504 6.307338088709241 0.3888676341171828
16.0 0.0 524288.0 0.0 200.0 0.0 2.05e-07 2.8284271247461795e-08 2.0928950000000004 0.07572406519725496 0.05859785 0.0009211480038517907 0.7415430000000001 0.0034902790719237727 2.1155549999999996 0.032463272324304626 0.17891849999999998 0.0009694433970101748 2.0928952050000005 0.07572403691298335 0.80014085 0.004411427075795682 0.18314961 0.0010343699416539506 2.6154373515844047 0.08021865870889673 11.428593373368884 0.47799954569271136 2.8221424419306866 0.08883368933989863 11.698795124302034 0.4866203600155842
