N N_std T T_std simple_time simple_time_std zipHMMlib_time zipHMMlib_time_std zipHMMlib_time/N^2 zipHMMlib_time/N^2_std zipHMMlib_ratio zipHMMlib_ratio_std
2.0 0.0 10000.0 0.0 0.0018141280000000004 2.7703223558904288e-05 0.005149661 0.00034555468132812074 0.00128741525 8.638867033203019e-05 0.3534870674974799 0.020549480016844666
3.0 0.0 10000.0 0.0 0.0022773579999999997 0.0003563104157519586 0.004985768000000001 0.00010172627113970969 0.0005539742222222222 1.130291901552844e-05 0.4570752599586223 0.07346303990654973
4.0 0.0 10000.0 0.0 0.00244435 5.628496779780897e-05 0.005594512000000001 0.0003223142185921321 0.00034965700000000007 2.0144638662008257e-05 0.438064730644314 0.02427076955859684
6.0 0.0 10000.0 0.0 0.0032636670000000005 3.4589650041533734e-05 0.005823002 6.73962977552101e-05 0.00016175005555555555 1.8721193820912448e-06 0.5605363860915757 0.00811491825848544
8.0 0.0 10000.0 0.0 0.004262561 5.421822417072257e-05 0.006415272 0.0002144712099197689 0.000100238625 3.351112654996389e-06 0.6650183629521926 0.02085061438142037
12.0 0.0 10000.0 0.0 0.006871399 3.949672066542558e-05 0.007688943000000001 0.0002935446802655637 5.33954375e-05 2.0385047240665436e-06 0.8947397248744229 0.031423748225761806
16.0 0.0 10000.0 0.0 0.010194420000000001 6.743898971145908e-05 0.01262713 0.000348023275243359 4.93247265625e-05 1.3594659189193711e-06 0.8079045631236003 0.023140859317358254
24.0 0.0 10000.0 0.0 0.018958 0.0003191034558815729 0.01096956 0.0004428634908813112 1.9044375000000002e-05 7.688602272243591e-07 1.730005786076663 0.053409257060563355
32.0 0.0 10000.0 0.0 0.030241819999999996 0.0002967569218517231 0.015253899999999997 0.00023201603392877955 1.4896386718749997e-05 2.2657815813357378e-07 1.9829310421858541 0.03288533453201006
48.0 0.0 10000.0 0.0 0.06111050999999999 0.000818102940345042 0.023926640000000002 0.000996763384604829 1.0384826388888888e-05 4.3262299679030443e-07 2.557632647037237 0.10042289873458919
64.0 0.0 10000.0 0.0 0.1094001 0.000775179326922267 0.03807755 0.0002412881829303793 9.29627685546875e-06 5.890824778573713e-08 2.8731505303307276 0.022160995133740365
