N N_std T T_std simple_time simple_time_std zipHMMlib_time zipHMMlib_time_std zipHMMlib_time/T zipHMMlib_time/T_std zipHMMlib_ratio zipHMMlib_ratio_std
16.0 0.0 1024.0 0.0 0.0106194 0.0076721085758740416 0.00280782 0.00020064862022949823 2.74201171875e-06 1.9594591819286937e-07 3.693881880469817 2.468440381957191
16.0 0.0 2048.0 0.0 0.009989979999999999 0.0030028279412580424 0.004524675000000001 4.920756090276505e-05 2.2093139648437503e-06 2.4027129347053247e-08 2.2116285092957195 0.6877083516105619
16.0 0.0 4096.0 0.0 0.01812175 0.0009215722679205372 0.009480035 1.3470384181393073e-05 2.314461669921875e-06 3.2886680130354183e-09 1.91164094179005 0.09992819708193414
16.0 0.0 8192.0 0.0 0.02682225 0.006156283769044447 0.01820325 0.0011795248216972924 2.222076416015625e-06 1.4398496358609526e-07 1.4875669677028323 0.4345875561444733
16.0 0.0 16384.0 0.0 0.0421808 0.0013084303879075557 0.03073575 0.0019181685653248232 1.8759613037109375e-06 1.1707571809843892e-07 1.3737161165637901 0.04316109691694514
16.0 0.0 32768.0 0.0 0.07295705 0.003660479674168848 0.0462906 0.00359988062302065 1.412677001953125e-06 1.0985963815370636e-07 1.5777623648698156 0.04362173942134771
16.0 0.0 65536.0 0.0 0.13259200000000002 0.002435275754406965 0.10386200000000001 0.00128552012819576 1.5848083496093752e-06 1.961548047173706e-08 1.2768599592152563 0.03925116917512827
16.0 0.0 131072.0 0.0 0.2752565 0.011737265460913446 0.178386 0.0009404520189792492 1.3609771728515624e-06 7.175079490503305e-09 1.5428866917996908 0.057662902674861266
16.0 0.0 262144.0 0.0 0.55411 0.016457203225335726 0.34450899999999995 0.0007764032457673973 1.314197540283203e-06 2.961743338651265e-09 1.6083552612640455 0.044145351732984714
16.0 0.0 524288.0 0.0 2.057425 0.003033488091325253 0.731822 0.0011356134905611264 1.3958396911621093e-06 2.1660108386251953e-09 2.8113801316919753 0.00850770992951769
16.0 0.0 1048576.0 0.0 4.523334999999999 0.05605235454479258 1.55667 0.0019091883093336204 1.4845561981201172e-06 1.8207438557945446e-09 2.9058006995135037 0.03957169809209079
16.0 0.0 2097152.0 0.0 10.6903 0.07339768388708666 3.262765 0.02993183004771616 1.555807590484619e-06 1.4272608779771881e-08 3.2764888599019857 0.0075621823268720734
16.0 0.0 4194304.0 0.0 23.523600000000002 1.007344320478167 6.6930250000000004 0.029097444045730895 1.5957415103912355e-06 6.93737126487038e-09 3.515004351660915 0.16578781088097233
16.0 0.0 8388608.0 0.0 49.764250000000004 1.256740882202297 13.7148 0.04313351365261927 1.6349315643310547e-06 5.141915518357667e-09 3.6286692020672433 0.10304620809419096
