N N_std T T_std T' T'_std simple_pre_time simple_pre_time_std simple_running_time simple_running_time_std simple_path_pre_time simple_path_pre_time_std simple_path_running_time simple_path_running_time_std zipHMMlib_uncompressed_pre_time zipHMMlib_uncompressed_pre_time_std zipHMMlib_uncompressed_running_time zipHMMlib_uncompressed_running_time_std zipHMMlib_uncompressed_path_pre_time zipHMMlib_uncompressed_path_pre_time_std zipHMMlib_uncompressed_path_running_time zipHMMlib_uncompressed_path_running_time_std zipHMMlib_pre_time zipHMMlib_pre_time_std zipHMMlib_running_time zipHMMlib_running_time_std zipHMMlib_path_pre_time zipHMMlib_path_pre_time_std zipHMMlib_path_running_time zipHMMlib_path_running_time_std simple_total_time simple_total_time_std zipHMMlib_uncompressed_total_time zipHMMlib_uncompressed_total_time_std zipHMMlib_uncompressed_path_total_time zipHMMlib_uncompressed_path_total_time_std zipHMMlib_total_time zipHMMlib_total_time_std zipHMMlib_path_total_time zipHMMlib_path_total_time_std zipHMMlib_uncompressed_total_ratio zipHMMlib_uncompressed_total_ratio_std zipHMMlib_uncompressed_path_total_ratio zipHMMlib_uncompressed_path_total_ratio_std zipHMMlib_total_ratio zipHMMlib_total_ratio_std zipHMMlib_path_total_ratio zipHMMlib_path_total_ratio_std zipHMMlib_uncompressed_running_ratio zipHMMlib_uncompressed_running_ratio_std zipHMMlib_uncompressed_path_running_ratio zipHMMlib_uncompressed_path_running_ratio_std zipHMMlib_running_ratio zipHMMlib_running_ratio_std zipHMMlib_path_running_ratio zipHMMlib_path_running_ratio_std zipHMMlib_running_time/N^3 zipHMMlib_running_time/N^3_std zipHMMlib_path_running_time/N^3 zipHMMlib_path_running_time/N^3_std zipHMMlib_path_backtrack_time zipHMMlib_path_backtrack_time_std zipHMMlib_pre_time/N^3 zipHMMlib_pre_time/N^3_std
2.0 0.0 100000.0 0.0 0.0 0.0 1.16e-07 3.207283377979981e-08 0.028822749999999998 0.0034175860023316724 -4294830000.0 0.0 -140735500000000.0 1290993098.9865592 -140159500000000.0 400271990858.05475 -140158.5 400.27199085954874 576413750000.0 400812668138.4335 140159500000000.0 400271990858.05475 140159500000000.0 400271990858.05475 -9318100.0 0.0 -140155000000000.0 399812456036.2726 -560.38665 400.81115079509703 0.028822866 0.0034175898035548563 -140159500140158.5 400271991260.93506 140735913750000.0 1165879459.8400126 140159490681900.0 400271990858.05475 -140155000000560.38 399812455640.2627 -2.0566262448280033e-16 2.4552675366627043e-17 2.0480092690806498e-16 2.4282020777284008e-17 2.0566263836271102e-16 2.4552677035079604e-17 -2.0566923609169515e-16 2.455365020693345e-17 -2.0566326488970285e-07 2.4552827382606816e-08 2.056617973919095e-16 2.4552650961392834e-17 -3.0932003305394872e-09 3.667685474862566e-10 -0.00010419049700076043 0.00011455735833364896 -1164762.5 0.0 -70.04833125 50.10139384938713 9317539.61335 400.81115669768144 17519937500000.0 50033998857.25684
3.0 0.0 100000.0 0.0 0.0 0.0 1.264e-07 2.9228410836034278e-08 0.05344022 0.0032375957579661983 -4294830000.0 0.0 -140735600000000.0 1140175853.1170475 -139950400000000.0 398217026255.6389 -139949.8 397.90413418405564 785256000000.0 398256613653.18207 139950400000000.0 398217026255.6389 139950400000000.0 398217026255.6389 -9318100.0 0.0 -139946000000000.0 398009422001.9251 -769.2324 398.2588875509246 0.05344034639999999 0.0032375957998699166 -139950400139949.8 398217026653.2354 140735656000000.0 1262663157.201582 139950390681900.0 398217026255.6389 -139946000000769.22 398009421604.1213 -3.818141969961733e-16 2.232217390331961e-17 3.7972149733736283e-16 2.3005913246900866e-17 3.8181422279737617e-16 2.2322175358754907e-17 -3.818262028677258e-16 2.2322916803877657e-17 -3.8181495119726e-07 2.2322717548999276e-08 3.8181329442258526e-16 2.2322180900180938e-17 -5.735098356961183e-09 3.474523516560271e-10 -0.00012653307891864106 0.00014823088326162818 -345114.81481481483 0.005524271728019903 -28.490088888888884 14.750329168552762 9317330.7676 398.25892566896727 5183348148148.148 14748778750.042873
4.0 0.0 100000.0 0.0 0.0 0.0 1.0559999999999999e-07 3.7567272991261974e-08 0.08364448 0.005217692217542225 -4294830000.0 0.0 -140736200000000.0 836658520.995169 -140137800000000.0 372916478580.1932 -140136.8 372.9164785857055 598542400000.0 372889096877.7447 140137800000000.0 372916478580.1932 140137800000000.0 372916478580.1932 -9318100.0 0.0 -140132800000000.0 372916478586.09 -582.5164 372.8890968777446 0.08364458560000002 0.0052177259498788426 -140137800140136.8 372916478963.4868 140736342400000.0 773476739.731375 140137790681900.0 372916478586.09 -140132800000582.5 372916478220.4869 -5.96802815567116e-16 3.5708714057808314e-17 5.943353065774522e-16 3.707326233301436e-17 5.96802855842282e-16 3.5708716366941174e-17 -5.968241079379672e-16 3.5709934033542313e-17 -5.968063212443171e-07 3.57087178419607e-08 5.968020630159309e-16 3.5708473862602107e-17 -8.976559599059894e-09 5.599523741473123e-10 -0.00026000501505014825 0.00023915005979653162 -145595.3125 0.0 -9.10181875 5.826392138714759 9317517.4836 372.8890795196341 2189653125000.0 5826819977.815518
6.0 0.0 100000.0 0.0 0.0 0.0 8.580000000000001e-08 2.9252350332921914e-08 0.17031179999999999 0.003507097332553871 -4294830000.0 0.0 -140735800000000.0 1788853445.9945886 -140520600000000.0 283879904178.0022 -140520.0 283.56833391618324 215308920000.0 282091147894.46515 140520600000000.0 283879904178.0022 140520600000000.0 283879904178.0022 -9318100.0 0.0 -140516400000000.0 283718698725.0587 -199.28284 282.0911886862526 0.17031188579999998 0.003507111567481471 -140520600140520.0 283879904464.61584 140735908920000.0 1863420748.3426301 140520590681900.0 283879904178.0022 -140516400000199.3 283718698422.78076 -1.211991806457111e-15 2.3923163760668286e-17 1.2101522438164232e-15 2.4915622707197172e-17 1.2119918880371068e-15 2.392316530878258e-17 -1.2120280180072654e-15 2.3922986056013634e-17 -1.211996362224984e-06 2.3922813980898456e-08 1.2119911972291164e-15 2.3923067939383566e-17 -1.8277524388019017e-08 3.763747258081232e-10 -0.0032433146472705906 0.0037288498805949687 -43139.351851851854 0.0006905339660024879 -0.9226057407407406 1.3059777253993177 9317900.71716 282.0911864982669 650558333333.3333 1314258815.6808555
8.0 0.0 100000.0 0.0 0.0 0.0 1.09e-07 3.8503246616356934e-08 0.29633919999999997 0.0021845181848636603 -4294830000.0 0.0 -140735800000000.0 1303840062.3426113 -140192800000000.0 226570518824.21252 -140192.0 226.60869356668556 543266600000.0 227209017910.38135 140192800000000.0 226570518824.21252 140192800000000.0 226570518824.21252 -9318100.0 0.0 -140188600000000.0 226302452485.93134 -527.2406 227.20901791038133 0.296339309 0.002184556417783046 -140192800140192.0 226570519057.14908 140736066600000.0 1103231521.2725894 140192790681900.0 226570518824.21252 -140188600000527.25 226302452243.00165 -2.1137839387562037e-15 1.2452823781095972e-17 2.1056387382330698e-15 1.5528073336137014e-17 2.1137840813647683e-15 1.2452824418260855e-17 -2.113847280531808e-15 1.2456710879798756e-17 -2.11379522460974e-06 1.2452200372255223e-08 2.1137831637087692e-15 1.245255593422247e-17 -3.1802534851525525e-08 2.344381563696447e-10 -0.0006616757068543673 0.0002979311489360065 -18199.4140625 0.0 -1.029766796875 0.44376761310621354 9317572.7594 227.20894843733598 273814062500.0 442520544.5785401
12.0 0.0 100000.0 0.0 0.0 0.0 8.58e-08 2.9869717106126116e-08 0.6385833999999999 0.0031773535056825357 -4294830000.0 0.0 -140736000000000.0 1732050774.1405191 -140336200000000.0 413951325640.28564 -140335.8 414.3038739871532 399666922000.0 414267664138.22406 140336200000000.0 413951325640.28564 140336200000000.0 413951325640.28564 -9318100.0 0.0 -140331800000000.0 414303873989.5378 -383.64212200000003 414.2701281011877 0.6385834858 0.0031773523050661937 -140336200140335.8 413951326054.64307 140735866922000.0 1592249449.4809575 140336190681900.0 413951325645.5979 -140331800000383.62 414303873580.8407 -4.5504400498094615e-15 3.1318018704368016e-17 4.537460838523798e-15 2.2574628842620108e-17 4.5504403565077686e-15 3.131802150624724e-17 -4.5505828514297845e-15 3.133599350083382e-17 -4.550452532181078e-06 3.1334847254614765e-08 4.550439443180295e-15 3.131806276140648e-17 -6.853150320344276e-08 3.4098727269341843e-10 0.011680098771933425 0.03103311343487695 -5392.418981481482 8.631674575031098e-05 -0.22201511689814818 0.2397396574659651 9317716.357878001 414.2701036159863 81213078703.7037 239555165.30124432
16.0 0.0 100000.0 0.0 0.0 0.0 9.12e-08 3.097902516219649e-08 1.1091 0.0023613661301034716 -4294830000.0 0.0 -140734800000000.0 1303838375.7671323 -140128600000000.0 351829219932.8374 -140127.8 351.70612732900025 606234976000.0 352526903535.52155 140128600000000.0 351829219932.8374 140128600000000.0 351829219932.8374 -9318100.0 0.0 -140124200000000.0 351611575459.7323 -590.208974 352.5269077782054 1.1091000912 0.002361396102086413 -140128600140127.8 351829220289.1021 140734834976000.0 1371995882.9550233 140128590681900.0 351829219932.8374 -140124200000590.2 351611575115.7553 -7.91490689443836e-15 2.3603198662356436e-17 7.880778767276362e-15 1.681270134861559e-17 7.914907428673926e-15 2.360320119005114e-17 -7.915155382922019e-15 2.3591470822962187e-17 -7.914951424081513e-06 2.3602991472367048e-08 7.914906251630394e-15 2.3603091447385887e-17 -1.1902641096360847e-07 2.534171268809261e-10 0.02630177778315857 0.06225102666950377 -2274.9267578125 0.0 -0.14409398779296875 0.08606613959428842 9317509.791026 352.52688284016017 34211083984.375 85895805.64766538
24.0 0.0 100000.0 0.0 0.0 0.0 9.16e-08 2.9929918142220145e-08 2.508504 0.01238616486245602 -4294830000.0 0.0 -140735400000000.0 1516575881.2030962 -140152400000000.0 446425581702.3078 -140151.4 446.42558170342016 583364920000.0 446254190746.40857 140152400000000.0 446425581702.3078 140152400000000.0 446425581702.3078 -9318100.0 0.0 -140148000000000.0 446628480957.81415 -567.341326 446.2572073509642 2.5085040916 0.012386193858917451 -140152400140151.4 446425582150.5597 140735764920000.0 1583046963.4071622 140152390681900.0 446425581702.3078 -140148000000567.34 446628480504.8423 -1.7898404732885158e-14 6.798592657919468e-17 1.7824211771872917e-14 8.798523482325453e-17 1.7898405940777414e-14 6.798593121268135e-17 -1.78989667051277e-14 6.797380979742023e-17 -1.7898531806272048e-05 6.798627332700695e-08 1.7898404097581512e-14 6.798578337890763e-17 -2.6920767109174614e-07 1.32925863238688e-09 0.43745491775332124 0.9881970097266084 -674.0523726851852 1.0789593218788873e-05 -0.041040315827546296 0.032281337337309327 9317532.658673998 446.25723033358236 10138339120.37037 32293517.19481444
32.0 0.0 100000.0 0.0 0.0 0.0 8.100000000000001e-08 2.2383029285599375e-08 4.43881 0.004656892740994712 -4294830000.0 0.0 -140736200000000.0 836658520.995169 -140244200000000.0 413230202188.94617 -140243.4 413.4686203319873 491894080000.0 413332883812.9528 140244200000000.0 413230202188.94617 140244200000000.0 413230202188.94617 -9318100.0 0.0 -140239600000000.0 413628214708.48395 -475.86728000000005 413.33146097592413 4.438810081000001 0.0046569113147467605 -140244200140243.4 413230202598.70514 140736094080000.0 746727479.649577 140244190681900.0 413230202188.94617 -140239600000475.88 413628214293.8028 -3.1650862925777906e-14 1.2213400903408083e-16 3.153995500077632e-14 3.303229799091896e-17 3.165086506040775e-14 1.2213402341536135e-16 -3.1651901645922655e-14 1.222317540113063e-16 -3.165104319012145e-05 1.221781167884884e-07 3.165086237959948e-14 1.2213388643001603e-16 -4.7636428027172925e-07 4.99768487233986e-10 -0.02015714942916936 0.01993744677953608 -284.3658447265625 0.0 -0.014522316894531252 0.012613875151853153 9317624.13272 413.33145370876383 4279913330.078125 12610784.97891071
48.0 0.0 100000.0 0.0 0.0 0.0 9.039999999999999e-08 1.8769656363396763e-08 9.916115999999999 0.007700878522785757 -4294830000.0 0.0 -140736000000000.0 707107285.8540494 -140132000000000.0 371653064024.507 -140131.4 371.613777999736 604064480000.0 371141434104.1054 140132000000000.0 371653064024.507 140132000000000.0 371653064024.507 -9318100.0 0.0 -140127600000000.0 371391033819.45264 -588.038486 371.1414221804754 9.9161160904 0.007700877498613662 -140132000140131.4 371653064403.18677 140736064480000.0 857501834.5120188 140131990681900.0 371653064024.507 -140127600000588.03 371391033452.34784 -7.076306466391796e-14 1.8857904241188012e-16 7.045895533465995e-14 5.4611462549105645e-17 7.076306944013429e-14 1.8857906703704866e-16 -7.076528615833053e-14 1.8846095544952586e-16 -7.076336689279997e-05 1.885131386281579e-07 7.076306408954675e-14 1.8857903168105054e-16 -1.0641778903424518e-06 8.264430002323569e-10 0.9754071999240764 2.213413386025221 -84.25654658564815 1.3486991523486091e-06 -0.005317188277633102 0.00335595180646408 9317511.961514 371.14139825678296 1267107928.2407405 3360578.19764159
